NAMESPACE              NAME                                                              READY   STATUS             RESTARTS         AGE     IP             NODE            NOMINATED NODE   READINESS GATES
postgresql             shopixy-pgbouncer-6fb4cfd8bc-ss2h2                                1/1     Running            1 (3h20m ago)    5h56m   10.42.0.162    shopixyserver   <none>           <none>
postgresql             shopixy-postgres-1                                                1/1     Running            1 (3h20m ago)    5h57m   10.42.0.172    shopixyserver   <none>           <none>
postgresql             shopixy-postgres-2                                                1/1     Running            1 (3h20m ago)    5h57m   10.42.0.196    shopixyserver   <none>           <none>
postgresql             shopixy-postgres-3                                                1/1     Running            1 (3h20m ago)    5h56m   10.42.0.170    shopixyserver   <none>           <none>
prometheus             prometheus-kube-prometheus-operator-68cccb8d4d-l8xpn              1/1     Running            48 (3h18m ago)   16d     10.42.0.156    shopixyserver   <none>           <none>
prometheus             prometheus-kube-state-metrics-678b9d8db-bvxsk                     1/1     Running            40 (3h19m ago)   16d     10.42.0.149    shopixyserver   <none>           <none>
prometheus             prometheus-prometheus-kube-prometheus-prometheus-0                2/2     Running            38 (3h20m ago)   16d     10.42.0.198    shopixyserver   <none>           <none>
prometheus             prometheus-prometheus-node-exporter-x2mwx                         1/1     Running            51 (3h19m ago)   16d     192.168.1.50   shopixyserver   <none>           <none>
rabbitmq-system        messaging-topology-operator-dbfb444c-g64jt                        1/1     Running            13 (3h20m ago)   13d     10.42.0.160    shopixyserver   <none>           <none>
rabbitmq-system        rabbitmq-cluster-operator-757bb9458b-fhvnj                        1/1     Running            13 (3h20m ago)   13d     10.42.0.192    shopixyserver   <none>           <none>
rabbitmq               rabbitmq-server-0                                                 1/1     Running            11 (3h20m ago)   11d     10.42.0.181    shopixyserver   <none>           <none>
rabbitmq               rabbitmq-server-1                                                 1/1     Running            5 (3h20m ago)    3d4h    10.42.0.188    shopixyserver   <none>           <none>
rabbitmq               rabbitmq-server-2                                                 1/1     Running            11 (3h20m ago)   11d     10.42.0.158    shopixyserver   <none>           <none>
redis-system           redis-operator-695bd9d849-hvkcg                                   1/1     Running            18 (3h19m ago)   14d     10.42.0.157    shopixyserver   <none>           <none>
redis                  redis-0                                                           2/2     Running            8 (3h20m ago)    3d1h    10.42.0.166    shopixyserver   <none>           <none>
redis                  redis-1                                                           2/2     Running            8 (3h20m ago)    3d1h    10.42.0.183    shopixyserver   <none>           <none>
redis                  redis-2                                                           2/2     Running            8 (3h20m ago)    3d1h    10.42.0.151    shopixyserver   <none>           <none>
redis                  redis-sentinel-sentinel-0                                         2/2     Running            8 (3h53m ago)    3d1h    10.42.0.145    shopixyserver   <none>           <none>
redis                  redis-sentinel-sentinel-1                                         2/2     Running            8 (3h20m ago)    3d1h    10.42.0.185    shopixyserver   <none>           <none>
redis                  redis-sentinel-sentinel-2                                         2/2     Running            8 (3h20m ago)    3d1h    10.42.0.191    shopixyserver   <none>           <none>
